City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,san juan de miraflores,-3.5572,-74.7969,87.21,65,99,3.2,PE,1687453200
84,soligalich,58.9382,42.0408,68.79,36,43,8.25,RU,1687510800
85,nguigmi,14.5559,14.1602,96.78,37,96,17.63,TD,1687518000
86,dryden,49.6372,-90.9898,89.31,32,100,10.11,CA,1687456800
87,usinsk,68.4806,56.828,49.23,60,94,10.07,RU,1687510800
88,stornoway,58.3209,-5.4172,59.16,89,100,15.26,GB,1687521600
89,barra do garcas,-15.5767,-52.9287,90.41,25,6,5.08,BR,1687446000
90,okahao,-18.9725,15.3951,80.1,12,0,12.1,NA,1687518000
91,kedrovyy,57.2647,91.6171,61.56,77,97,12.64,RU,1687496400
92,pucallpa,-7.6911,-74.1537,91.09,49,9,2.59,PE,1687449600
93,vicente noble,18.3788,-70.9969,80.26,56,6,18.54,DO,1687449600
94,kuqa,42.09,83.7768,76.26,18,77,11.97,CN,1687500000
95,susuman,69.4954,154.2665,70.72,44,32,22.26,RU,1687482000
96,san benito,-31.5032,-60.2757,64.36,50,4,6.69,AR,1687449600
97,ambon,-4.0425,127.4579,81.43,78,100,13.15,ID,1687489200
98,impfondo,1.1754,19.0792,73.69,96,100,2.46,CD,1687514400
99,monetnyy,57.4333,60.9703,63.43,45,98,6.93,RU,1687503600
100,badiyah,22.062,59.2007,109.58,24,69,14.58,OM,1687507200
101,chishmy,54.5785,55.2846,63.19,43,35,5.84,RU,1687507200
102,marsaskala,35.9961,14.7152,77.92,85,0,14.56,MT,1687518000
103,sergeyevka,43.5065,133.1695,65.5,83,100,4.79,RU,1687489200
104,maturin,9.4935,-63.444,92.73,49,50,10.58,VE,1687449600
105,smithers,63.4335,-126.3298,61.83,46,98,9.86,CA,1687464000
106,tortona,44.8374,8.9327,84.34,51,28,5.77,IT,1687518000
107,saint-aubin-de-medoc,45.0225,-0.8511,80.28,44,40,7.61,FR,1687521600
108,great falls,46.9141,-110.7216,57.99,29,0,5.3,US,1687460400
109,brezina,32.7918,2.1722,99.23,11,0,20.65,DZ,1687518000
110,brokopondo,2.7897,-55.6595,90.5,49,15,5.59,SR,1687446000
111,nikolayevsk-on-amure,54.1142,139.2682,58.46,74,51,3.91,RU,1687485600
112,tamanrasset,23.0394,3.8414,106.92,5,1,19.93,DZ,1687518000
113,fort mcmurray,56.9513,-112.9428,68.32,41,100,10.45,CA,1687460400
